date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-03,ZA100HNW,ST8000DM002,8001563222016,0,113814480.0,5.0,8.0,3478153679.0,57282.0,5.0,0.0,0.0,23.0,16538.0,1.0,70885.0,23.0,113814480.0,0.0,0.0,0.0,57254.0,109010150672.0,419762119812.0
2023-01-04,ZA100HNW,ST8000DM002,8001563222016,0,133765976.0,5.0,8.0,3484831413.0,57306.0,5.0,0.0,0.0,23.0,16538.0,1.0,70907.0,23.0,133765976.0,0.0,0.0,0.0,57278.0,109037093664.0,420000481500.0
2023-01-05,ZA100HNW,ST8000DM002,8001563222016,0,215526536.0,5.0,8.0,3494088619.0,57341.0,5.0,0.0,0.0,23.0,16540.0,1.0,70963.0,23.0,215526536.0,0.0,0.0,0.0,57313.0,109082581368.0,420282004108.0
2023-01-06,ZA100HNW,ST8000DM002,8001563222016,0,3091976.0,5.0,8.0,3499475065.0,57365.0,5.0,0.0,0.0,23.0,16542.0,1.0,70995.0,23.0,3091976.0,0.0,0.0,0.0,57337.0,109120388880.0,420522249820.0
2023-01-07,ZA100HNW,ST8000DM002,8001563222016,0,93817480.0,5.0,8.0,3505030051.0,57389.0,5.0,0.0,0.0,23.0,16544.0,1.0,71024.0,23.0,93817480.0,0.0,0.0,0.0,57361.0,109142982472.0,420835051100.0
2023-01-08,ZA100HNW,ST8000DM002,8001563222016,0,35584568.0,5.0,8.0,3510753101.0,57413.0,5.0,0.0,0.0,23.0,16548.0,1.0,71071.0,23.0,35584568.0,0.0,0.0,0.0,57384.0,109172502832.0,420992500820.0
2023-01-09,ZA100HNW,ST8000DM002,8001563222016,0,30087512.0,5.0,8.0,3516425686.0,57436.0,5.0,0.0,0.0,23.0,16549.0,1.0,71109.0,23.0,30087512.0,0.0,0.0,0.0,57408.0,109201310280.0,421203520804.0
2023-01-10,ZA100HNW,ST8000DM002,8001563222016,0,194588904.0,5.0,8.0,3523003478.0,57460.0,5.0,0.0,0.0,23.0,16551.0,1.0,71156.0,23.0,194588904.0,0.0,0.0,0.0,57432.0,109230647824.0,421338684652.0
2023-01-01,ZA100HQG,ST8000DM002,8001563222016,0,89007872.0,5.0,0.0,4142358121.0,57113.0,5.0,0.0,0.0,32.0,27259.0,1.0,34754.0,32.0,89007872.0,0.0,0.0,0.0,57082.0,107245685352.0,476878329920.0
2023-01-02,ZA100HQG,ST8000DM002,8001563222016,0,217525200.0,5.0,0.0,4150536447.0,57137.0,5.0,0.0,0.0,32.0,27264.0,1.0,34755.0,32.0,217525200.0,0.0,0.0,0.0,57105.0,107283878176.0,476968654424.0
2023-01-03,ZA100HQG,ST8000DM002,8001563222016,0,244076376.0,5.0,0.0,4156922407.0,57161.0,5.0,0.0,0.0,32.0,27272.0,1.0,34757.0,32.0,244076376.0,0.0,0.0,0.0,57129.0,107322138488.0,477201593296.0
2023-01-04,ZA100HQG,ST8000DM002,8001563222016,0,106998528.0,5.0,0.0,4161447985.0,57184.0,5.0,0.0,0.0,32.0,27276.0,1.0,34759.0,32.0,106998528.0,0.0,0.0,0.0,57153.0,107367504288.0,477511594440.0
